source_id,ra,dec,residual,alpha,alpha_upper_2sig,deficit_G_mag,dchi2,chi2_fit,cstar_nsigma,ruwe,A_0,l,b,A_0_d,sfr,simbad_id,otype,sep_arcsec,known_contaminant
558046101498135424,83.48645357563649,82.40040465494216,0.4133751783873549,0.45,1.4,0.52063596,54.217728,10.560364,0.9890683357984328,1.022986,0.0236230452562595,130.80538843627784,24.38936641817657,0.0236230452562595,,,,,False
4822853965347715968,81.93191184420007,-34.91441538181357,0.3372082624287218,0.25,1.0,0.50947195,62.085606,7.654232,0.4631789690176652,1.0418234,0.0378532256930865,239.06889408270277,-31.44351562826201,0.0378532256930865,,,,,False
4552848303667056384,267.67814542649603,21.15775842145061,0.3529895126012761,0.45,1.35,0.505591,51.129517,7.188839,0.3836391031935833,0.97469187,0.0872586467101926,46.05737805838251,22.453654887697333,0.0872586467101926,,,,,False
6808825539979798144,313.44176307309465,-21.306068546548,0.1368239013767915,0.45,1.15,0.5035106,50.70961,1.9282303,2.973781318016545,1.1316386,0.0892639067441607,25.31631233243504,-35.98246704015669,0.0892639067441607,,,,,False
3971426207001885568,166.07624166844096,17.026669477965545,0.2564273805957491,0.55,1.45,0.5032381,46.7399,4.364933,0.5203813044291843,1.1925895,0.0400244007020767,229.55299313985836,63.27858440356125,0.0400244007020767,,,,,False
2901794018166203904,82.59744574223836,-32.57742065519771,0.3259016140532491,0.25,1.05,0.49729618,59.153515,8.495045,0.2776057438431521,0.98442256,0.0384553583521975,236.57854892045876,-30.34739023120107,0.0384553583521975,,,,,False
3874290681174749184,150.83779885734333,6.8135497102460185,0.1810341957278805,0.4,1.15,0.49670097,51.48759,2.85001,0.2340268119602113,1.1511037,0.056566994550974,232.0780513772048,45.28314484648035,0.056566994550974,,,,,False
3675773272664677248,193.32958128513528,-6.844711474618765,0.1774173553724392,0.45,1.25,0.49487868,48.985832,5.212967,0.570307849839329,1.020591,0.0602803631972567,303.7671452470863,56.02398901003502,0.0602803631972567,,,,,False
4461433841785065088,251.9779107587348,13.84132017530437,0.0409854317581732,0.45,1.15,0.49255323,48.526543,2.8502426,0.2678408174297771,1.0495574,0.11991636647221,31.94677470681396,33.54708479140663,0.11991636647221,,,,,False
3533223170673413504,172.24590464134968,-26.327733511436765,0.2717383054394435,0.2,0.9,0.48356888,58.710594,7.3686905,0.4093826784946386,1.0427886,0.1145412780689311,280.8355575220401,32.98163380505292,0.1145412780689311,,,,,False
