source_id,nss_solution_type,ra,dec,l,b,dist_pc,period,period_error,eccentricity,eccentricity_error,a0_mas,significance,goodness_of_fit,m1,m2,m2_min,q_dark,amrf,p_ts99_required,mp_violation,phot_g_mean_mag,bp_rp,ruwe,combination_method,box
4774655734975605888,Orbital,72.08709967062063,-56.8869515048974,265.714904785466,-39.1003285768606,279.6599956181291,2130.2890051114073,296.90448,0.8980624588941151,0.050183166,4.195389838914951,11.694375,7.9825306,0.92773515,,0.44788891073450693,0.48277669634691667,0.3712750773357142,794.2395812858323,2.6821743152898283,12.09442,0.8894415,8.265932,Orbital+M1,anomalous
4766771347547837056,AstroSpectroSB1,84.48553344965079,-55.3894096478988,263.29999965576195,-32.319123619941195,184.8365584211219,1141.11049398403,51.994225,0.7626056301170222,0.036071286,3.6052642117328513,16.507984,2.5228488,1.0775195,0.41264066,0.40550804330586154,0.37633474823508695,0.3041526492308342,426.0531793534431,2.6783287844858283,10.647346,0.8962803,7.5830684,AstroSpectroSB1+M1,marginal
5661250135786367232,AstroSpectroSB1,143.84251760588182,-25.974751378134684,257.07449589546815,18.966578069260056,141.1588976765718,1048.2654547915226,27.426554,0.5944743876022636,0.0071741035,4.943727059549783,37.498707,5.997391,0.8463167,0.309652,0.4002355967383565,0.4729146890307716,0.36531239511265035,391.7744394806928,2.6756861835627297,11.305359,1.0300064,8.316299,AstroSpectroSB1+M1,marginal
5513891869447765248,Orbital,118.01789797000538,-51.32587560672777,264.8359102926213,-12.155565378807795,294.0469051956916,1456.8712582304215,181.09387,0.5020709765737477,0.05878591,3.0333331286183083,12.991082,6.313766,0.8743701,,0.4215324133954012,0.48209838637509694,0.3708665420057461,544.7337238159879,2.674464962486067,12.957737,1.202527,7.4143744,Orbital+M1,marginal
4302536132222196736,AstroSpectroSB1,294.3134745857093,10.231712197619522,47.30721176091258,-5.332080087192717,232.37871686803942,1230.4787256559189,65.77402,0.48655146876367467,0.023818716,3.2579241580870444,21.517082,3.3798413,0.93565613,,0.41077518368387683,0.439023665185712,0.34443661070125636,462.58257614273526,2.6600196140466825,11.818251,0.94131947,8.312448,Orbital+M1,marginal
3539548729785037440,Orbital,168.06069677916028,-21.299296408844864,274.0674198688954,35.95171527625792,189.83259419882918,909.9970795043876,13.339756,0.4228791115591106,0.013857691,2.4815551302080667,61.493874,9.308814,1.4987534,,0.39192884706197373,0.2615032196889827,0.22398458553351144,342.1606104774326,2.6595611874628884,8.746206,0.6295576,3.6946404,Orbital+M1,marginal
3622456476365156608,Orbital,195.60372011689046,-11.696496996235155,307.21210727573236,51.08400482515821,289.24131048193465,869.282251339281,16.435263,0.3937610239316743,0.033980463,2.1187861327778816,50.622837,-1.8374015,0.815672,,0.3893006995080412,0.47727604830337966,0.36795541836206647,327.52911578368685,2.6540609962547244,13.191446,1.1290941,7.851257,Orbital+M1,marginal
1658513273597904256,Orbital,207.40325925712088,56.710617149572144,107.56993144941222,58.6487599317536,211.36946525030436,1213.7175275523764,36.22584,0.5981076387781505,0.015751006,3.8017790559153988,52.245953,5.7041655,0.8012406,,0.41005765401594263,0.5117784124349529,0.38852878778040023,457.4680115313983,2.653119993001025,12.60317,1.1665783,14.183374,Orbital+M1,marginal
2204796383099239040,Orbital,332.6622035485307,61.35985753256207,104.85980559352437,4.264550879376756,287.3916820465361,1586.3200960297702,150.86273,0.5286104443180349,0.03755584,3.293736558229873,12.648651,1.1268005,0.89220846,,0.427933655568697,0.47963416196581177,0.36938042357443424,598.7402515900498,2.649429517753392,13.096633,1.2261457,9.388522,Orbital+M1,anomalous
6901212210662331904,Orbital,309.3575514211172,-11.736594733130783,34.11900275294711,-28.7857042637267,179.12601683615978,904.5833794850909,11.38975,0.6536713980638685,0.07231861,3.6379087978427744,14.52028,4.0403,0.7633683,,0.3919600978498678,0.5134613180332124,0.3895173865253328,342.3375951099139,2.6423723026816774,12.887419,1.4652185,12.870538,Orbital+M1,marginal
2280657290927623040,AstroSpectroSB1,336.4532750356544,76.31391627759223,114.53708682904494,15.87630125604049,97.3204590235694,1312.8572408496245,41.4319,0.31302123991308217,0.016467178,7.8924084113520605,28.624846,0.102054626,1.0152559,0.47194496,0.41566003009732294,0.4094140389802583,0.3256894334014642,498.5951177178287,2.6331129090449967,9.245319,0.78580093,16.596611,AstroSpectroSB1+M1,marginal
4170563946230868736,Orbital,270.1338356222241,-8.424625361206237,19.538777790726495,7.303675620960286,221.30407150064917,989.0622343644711,90.068756,0.42602091504281453,0.03012902,3.0710849870625383,13.291111,-0.43747497,0.8147872,,0.39780334388570016,0.48822973590533736,0.3745509546208319,376.7036744916164,2.625570976177146,13.295317,1.527298,11.249776,Orbital+M1,marginal
2486553487610600064,AstroSpectroSB1,35.21810274639277,-8.219726695720828,175.31378190645833,-61.62018580578899,151.61926664071552,955.790709204488,39.60077,0.5550933019598533,0.042439733,4.481585509307149,21.874413,3.7591436,0.76737845,,0.3957522248029758,0.5157197535215872,0.3908419391774161,364.348393413608,2.6232878379114335,12.4817095,1.4479885,17.630354,Orbital+M1,marginal
4496375015643293696,OrbitalTargetedSearch,269.3281506950669,12.626209815138436,38.37687751673205,17.630320997374227,71.441772597486,1237.1899841339323,38.248116,0.44232931527191033,0.006664087,9.189947500212721,21.422226,0.4191111,1.2723427,0.44292518,0.41210304078551996,0.3238931198747945,0.2686373776533271,472.16478893328235,2.6202504149642323,7.3179216,0.6799741,14.043496,Orbital+SB1+M1,marginal
6497716388438226432,AstroSpectroSB1,355.9511243174404,-54.82912434010714,322.31369957386744,-59.68067784401107,142.13333288917045,1721.2577695463508,83.65365,0.751888700271135,0.0140731735,6.277463941227122,31.279097,2.2593749,1.1671511,0.43074372,0.4345389263630574,0.372307346314796,0.3014861368617308,658.7430499890905,2.6129425875155063,9.426474,0.669405,10.217924,AstroSpectroSB1+M1,anomalous
416583725746958720,AstroSpectroSB1,13.842393241568397,51.35064998778622,123.55839532078416,-11.51631749645617,156.12104709612484,912.9377208861638,12.160404,0.32343786881402437,0.014792285,3.8314438009423633,42.461098,2.3951643,0.938994,0.34126213,0.39322416143814265,0.4187717551437322,0.33166707410172863,349.556356391129,2.6117039618774682,10.94315,0.8876095,10.011734,AstroSpectroSB1+M1,marginal
5359871868317321472,Orbital,164.9472715913563,-52.34073912413692,286.189590397071,6.863876246904305,215.9658477779323,959.2045004047473,17.424257,0.1516504469514267,0.025329601,3.7265615420812046,42.118603,0.8698231,0.5112468,0.39634463,0.39634463020776856,0.7752510722416148,0.5287728967776358,367.883984029945,2.607355965587972,15.271762,1.8721323,7.8500896,Orbital+M1,marginal
2539019811666173056,Orbital,15.59136468850803,1.9894995552612875,128.5286778579833,-60.76344746020378,118.70682796060218,1020.513906992491,95.77087,0.3676869071883256,0.021283647,6.045121744604372,15.143228,8.828365,0.7636936,0.43203938,0.40027179474931124,0.5241261808419413,0.3957508943676085,392.00221559976313,2.603337089386358,11.413727,1.2019644,14.286584,Orbital+SB1+M1,marginal
2147657581292981888,AstroSpectroSB1,281.15091428158064,54.52878484808813,83.95689056886113,22.752729589892002,172.3868736386296,878.9189493056291,18.268177,0.36605411662289794,0.0177054,3.5602941833828052,49.43524,3.8728883,0.8334327,0.37492007,0.39122601002752705,0.46941525337417345,0.36318466423218343,338.1989494843626,2.5988222336162754,11.876396,1.1287212,11.950604,AstroSpectroSB1+M1,marginal
