source_id,ra,dec,residual,alpha,alpha_upper_2sig,deficit_G_mag,dchi2,chi2_fit,cstar_nsigma,ruwe,A_0
3833683616522181120,150.5948897110247,1.067098106535957,0.3072155714331455,-0.8,0.45,0.16960783,25.019976,6.254999,0.8199235382608991,1.0783452,0.059132728859504435
3882845500114761216,160.02309127046396,11.894067062090436,0.03714364528771963,0.45,1.45,0.3711579,27.554369,1.8068504,0.16128803057434973,0.91183335,0.06055772032969658
3882888724665639808,159.5816102680874,12.03322280773665,0.36729490194884296,-1.0,-0.1,0.17561053,35.997868,11.807655,0.20465828208231898,1.0185452,0.06515513357864086
3926312252777033600,177.72844738708656,16.5360306015088,0.02654695693501452,0.3,1.15,0.35595006,28.915403,5.2872143,0.4739773977461564,0.9297043,0.051423640460450816
3941875702429238528,192.3400579117729,18.982657665023027,0.3895038014048646,0.05,1.4,0.3187478,29.763966,10.330006,0.3476400641453932,1.0152552,0.03438607989281454
3939535563728740224,198.61231933968992,18.53836543971402,-0.006835131908115244,-1.0,-0.45,0.16670245,32.438416,3.2455254,0.8724659606031168,0.9780186,0.04902718782410251
3943830217491325952,197.36151513393492,22.021678810415466,0.35843920138372276,-0.1,1.05,0.2839925,27.925055,5.5027905,-0.04815745226103221,1.0135388,0.05342114537177284
3991773047631016192,167.68877786929198,22.41039104303026,0.15721918816983038,0.35,1.3,0.41158348,36.942036,2.596096,0.7036215480340269,1.001674,0.03044268968841214
3971858452510511232,169.47114924555075,18.253257075873467,0.1034154611089928,0.1,1.2,0.31500596,27.571949,2.2493057,-0.16640729616602268,1.0734574,0.03409602962074145
3978004280127858304,170.9188445707976,19.50602758047466,0.3139722454077365,-0.3,0.65,0.28524703,35.86558,4.8455925,0.9885152967966447,1.0591627,0.03717428148483622
3989448576970460416,160.64439714017507,22.236254738684053,0.2402256464974748,0.25,1.4,0.3378286,27.298773,2.9517536,0.21358867896304543,0.97189736,0.040472036083267646
3999857108090784640,181.07586172248412,21.470378460035136,-0.1011567140705143,-1.0,-0.45,0.15686838,28.724104,10.860872,-0.43503548649491586,1.0526534,0.025550825221465717
4022626237259547392,172.45690671243517,30.15686969278357,-0.053782219134534515,0.05,0.85,0.31276566,28.657251,3.921629,0.7399814787626254,1.0335902,0.02990484100415523
4036634913091862272,267.96461822603624,-39.3292481687104,0.11474228133779363,-0.5,0.45,0.21639551,26.778755,13.377266,-0.3688008508062106,0.81668746,0.3206382175546742
4043001806989226752,271.82409279666075,-32.33362183146074,0.01853935445897026,-0.45,0.4,0.2322682,28.860838,6.6450634,0.2066827785378484,0.8460969,0.22266736634149836
4054828669415649024,263.20633986905085,-32.26250827760391,0.09727636916041771,-1.0,-0.8,0.25825173,77.85063,10.812286,0.011517378271218515,0.92236006,0.5447034607620674
4054842207152663424,263.146277182098,-32.1705999111782,0.03605083543257859,-1.0,-0.7,0.28784186,96.71271,8.334259,-0.6367885967992283,0.91371846,0.48188321959498254
4047449434579783040,279.1927460135462,-29.61677016619876,0.36056664328025967,-0.1,1.0,0.31658626,34.70279,12.838661,-0.0800968489475269,1.052994,0.36818712602871567
4050621967971892096,273.75228359050055,-28.622163845727023,0.06680918736389607,-0.95,-0.05,0.16515169,29.553492,12.038103,0.9217465691078044,0.8584065,0.18615488441145203
4038448248322646272,273.37264854522715,-35.3226618831721,-0.19698516183170778,-1.0,-0.55,0.19577348,44.7387,11.364006,0.0424929784993682,0.9717914,0.22413366032319362
4035391296732758528,270.4917123896956,-40.5603728797971,0.2273167560310565,-1.0,-0.35,0.15822534,29.223196,13.812365,-0.19458505499713694,0.95980114,0.156025294374108
4075255289056947584,284.1905505652094,-23.90308286322677,-0.058558861507243876,-1.0,-0.65,0.1844115,39.696445,13.848469,-0.19391835801358162,1.0439335,0.4767372901270444
4074861389001496448,282.84857180096765,-24.691800449684152,0.3533092755655165,-0.3,0.75,0.24993737,27.53582,6.8660583,0.9911260373706622,0.9505495,0.49454038432874275
4081620228722811008,285.7378454053451,-21.954201754459262,-0.033385106173601464,-0.05,0.75,0.33285838,36.232872,2.6736488,0.5594070501620148,0.92964125,0.4139171408993063
4090957693815592448,275.60212694214005,-21.9823683406468,0.029356790755940665,-1.0,-0.25,0.16223337,30.722462,4.6931953,0.1512810710277708,1.0047027,0.5793260468260772
4094882675451411328,274.1292781986169,-18.579892295645724,0.09250715281333388,-0.5,0.45,0.2198479,27.640028,8.676725,-0.09708914960494754,1.019623,0.42351913536167574
4081764711430252672,284.1987669243762,-21.932463678921547,-0.026342082769683195,-0.5,0.5,0.21582416,26.63753,3.3002071,0.09774461848866996,0.9994232,0.5930489885728137
4077583917233080448,278.39403999393204,-23.44911098279548,0.456110990341136,0.5,1.05,0.7337636,103.370384,11.066948,0.994351387020091,0.9818002,0.059900635367084745
4095936866539668736,273.03540226955755,-17.648365102592884,-0.06229352811056721,-1.0,-0.45,0.27503416,88.2976,8.67765,0.004968583313893197,0.7871408,0.47757631858004074
4123184517135423232,264.3724148678458,-18.293647369780366,-0.023692865090879422,-1.0,-0.4,0.19168228,42.88838,13.92487,0.37562469491878187,0.8565964,0.4091331362113387
4122095622584195840,261.23445328099325,-19.76639406759395,0.2055076637336004,0.35,1.25,0.3815569,31.748526,3.021593,0.25794775590080155,1.047643,0.3220253919671445
4122218252486966272,259.6631901961681,-19.66665935009523,0.18026180145513404,-0.1,0.8,0.30482885,32.173065,3.8025246,-0.025316381322726185,0.8970299,0.5761805856335297
4122872599364132480,260.97818473930727,-18.06008919676535,0.05521729510195783,0.3,1.2,0.3322973,25.200245,3.2627048,0.13778032412174754,0.96470964,0.47892998472617637
4122454063378798976,260.1789084207165,-18.648291482225527,0.38340602857699224,-0.75,-0.05,0.24280743,47.71836,9.277397,-0.17918670855225322,1.010573,0.3134072331223052
4120189786647837184,265.55578722106856,-18.67812925575324,0.3380214378101165,0.2,0.95,0.4617881,53.540844,5.413437,0.612505528728658,0.9646996,0.6792902990579368
4112097660285875840,255.29525216682916,-26.134266013842034,0.36541009356546006,-0.15,0.85,0.32135987,37.90909,9.298687,0.24868484293524978,1.0082816,0.3504155449078787
4112439951979902720,256.88765985119545,-25.316263696654605,0.1494405249808164,0.1,1.2,0.32209167,28.826303,9.429865,0.5806892798984972,1.0400031,0.02089316955259081
