source_id,ra,dec,dist_pc,phot_g_mean_mag,bp_rp,M_G,M_Ks,residual,resid_nsigma,W1,W2,W1_W2,w12_nsigma,ruwe,astrometric_excess_noise,phot_variable_flag,non_single_star,teff_gspphot
1810616448010879488,310.14718809392286,15.502590198203675,9.53116115333347,11.837387,3.1421013,11.941658021556034,7.853271009074344,0.23894010459977366,1.3524259415208575,7.499,7.362,0.13700008392333984,-0.39193302680078657,1.1224744,0.22961429,NOT_AVAILABLE,0,
5951165616611763456,259.7726543146931,-46.63575837613547,8.791104886960111,5.3014293,0.97412014,5.581211963362969,3.700782695479668,0.23658707213869778,1.3391075320938168,2.69,2.418,0.2720000743865967,0.22331088021159504,0.81725454,0.3914738,NOT_AVAILABLE,0,5182.5312
5243594081269535872,145.69216012443803,-68.87998537875298,6.50366972864417,11.133258,3.1541195,12.067465472555412,7.971207785940423,0.22985848820708554,1.3010230444601683,6.815,6.627,0.18800020217895508,-0.15950699546548602,1.0661858,0.26443163,NOT_AVAILABLE,0,3040.3696
1893189736896880640,330.306566078579,28.30710892040449,9.102927897031304,10.6348,2.873805,10.83889444346863,6.981094436602175,0.22919986319085517,1.2972951580964431,6.608,6.412,0.1959996223449707,-0.12305073721032263,1.1674854,0.18555415,NOT_AVAILABLE,0,
2824770686019003904,352.97012375450475,19.93699282660293,6.263176469198987,9.043998,2.6609464,10.060024522526936,6.34202697156258,0.22234323275026746,1.2584859138517197,4.861,4.489,0.37200021743774414,0.6790477917584906,1.3173962,0.23835064,NOT_AVAILABLE,0,
1412645602995521920,255.85040248888004,51.40906417008386,9.90811551200435,11.981026,3.1607075,12.001070390358926,7.941044698372843,0.19712742567836017,1.1157618128576463,7.937,7.509,0.42799997329711914,0.9342589845032683,1.2994939,0.23017272,NOT_AVAILABLE,0,3045.3743
6232511606838403968,224.37159427348143,-21.423140396261676,5.886360157633197,5.3640366,1.3236036,6.514802405383093,4.198765942599279,0.17839800188878652,1.0097513185323614,2.947,2.655,0.29200005531311035,0.31445804520899123,1.2978287,0.3995586,NOT_AVAILABLE,0,4503.0303
3269362645115584640,49.841600693178854,3.3706161908023495,9.276236542510446,4.6564903,0.8589401,4.819631253201681,3.1201409444400845,0.17474087832971819,0.9890516173209819,3.263,3.004,0.2590000629425049,0.16406511430729606,1.3376036,0.8171566,NOT_AVAILABLE,0,
1784473016438653056,322.40807988216517,17.64497780267456,6.779855103689163,9.108492,2.6544762,9.95238983557857,6.296898006660113,0.16902018080527448,0.9566718719927079,5.298,4.921,0.3769998550415039,0.7018329531679678,1.1444451,0.19008814,NOT_AVAILABLE,0,
625453654702751872,154.89881370110675,19.869809905451323,4.965085000459092,8.204091,2.564643,9.724457632785183,6.1133664958528104,0.16469289276611399,0.9321789698472255,4.268,3.458,0.8100001811981201,2.6751724436973308,1.1544943,0.1609177,NOT_AVAILABLE,0,3187.3616
