source_id,ra,dec,residual,alpha,alpha_upper_2sig,deficit_G_mag,dchi2,chi2_fit,cstar_nsigma,ruwe,A_0,l,b,A_0_d,sfr
4695355112385912960,36.733242587592386,-68.23674474334726,-0.045327469056744896,-0.3,0.5,0.27138594,32.464615,1.2041702,0.3298905676798447,0.9773463,0.06548539441860898,290.3432179199571,-46.48818237909517,0.06548539441860898,
4707716646739155584,2.5252025703376177,-66.426137850556,0.2472614280555714,0.05,1.05,0.323248,30.610336,3.5519867,1.546326149465935,1.0699832,0.041795580250249424,309.3648430289642,-50.182641794654465,0.041795580250249424,
4702090342660576896,3.0530571834757474,-70.87288361626946,0.46923617038307963,-0.3,0.75,0.27612987,33.609528,8.5863495,1.0922048257883916,1.102773,0.07691475414955906,307.53191043104056,-45.90342044099111,0.07691475414955906,
4727308947514100864,47.54194165190394,-57.51558162395067,-0.01936599478158829,0.45,1.4,0.37970468,28.837986,1.5204048,-0.07447839597977865,0.99862444,0.039905266135372035,273.8446603679687,-51.050116733587366,0.039905266135372035,
4726139273300184704,41.88117120416925,-59.020064902026775,0.08904816709518215,-0.25,0.6,0.2798438,32.43669,1.477272,-0.47800987081198293,1.0293323,0.045258932952840586,278.81399317135237,-52.32825644284858,0.045258932952840586,
4748566424288924928,44.67670033526747,-50.55752688155738,0.4000194986843155,0.2,1.45,0.34966436,30.697464,6.795986,0.9051920946742937,1.0321498,0.046159521351353164,265.72448947566727,-56.36566765722318,0.046159521351353164,
4730803401625826816,52.212491520991904,-55.98339059128306,0.07949028923309687,0.05,0.9,0.357516,37.444447,1.7376366,-0.20428512089039455,0.99654955,0.056110773127685795,269.651680019059,-49.72480363034437,0.056110773127685795,
4735825352265631744,51.599746135357066,-53.36063653305492,0.36950676616396017,-0.1,1.4,0.27548945,26.27787,10.342979,0.4522780974729767,0.97139806,0.05479692994667528,266.27847983772205,-51.27491117359651,0.05479692994667528,
4777067754250246912,72.8786723937253,-53.90610036831022,0.31603668480630454,0.3,1.25,0.41480282,39.267616,4.1266327,0.04558353279554006,1.0407813,0.030288466194754376,261.83066826968883,-39.0838735571845,0.030288466194754376,
4766789077172833152,83.85181118038956,-56.32907548742699,0.17398480388260928,0.35,1.35,0.39166927,33.453686,3.1032639,1.9751615525948074,1.0472047,0.049116346197896156,264.4040166928949,-32.69679012085864,0.049116346197896156,
