HIP,Gaia,RA_ICRS,DE_ICRS,RV,e_RV,plx,e_plx,pmRA,pmDE,e_pmRA,e_pmDE,pmRApmDEcor,pmRAhg,pmDEhg,e_pmRAhg,e_pmDEhg,pmRApmDEhg,pmRAhip,pmDEhip,e_pmRAhip,e_pmDEhip,pmRApmDEhip,EpochRAgaia,EpochDEgaia,EpochRAhip,EpochDEhip,dpmRA,dpmDE,chi2,source_id,local_resultant,dv_kms
12951,5129427047307392640,41.64082996045,-18.04068940551,,,7.0687,0.0474,117.127,46.195,0.073,0.078,-0.2164,117.022,46.438,0.038,0.038,0.4222,115.932,47.004,1.169,1.339,0.5786,2016.2,2016.2,1991.2,1991.5,-1e-04,0.0003,8.883,5129427047307392640,0.3600071939122442,0.17717180313267927
75316,4413962221089958272,230.81477055414,-3.29520491867,-3.941,1.087,4.6102,0.1009,3.612,-11.329,0.141,0.112,-0.0341,-0.579,-8.87,0.049,0.039,-0.3788,2.309,-6.742,1.706,1.478,-0.4128,2016.0,2015.9,1991.0,1991.2,0.0,0.0,1144.0,4413962221089958272,0.35972763857700496,4.994698295381351
103561,6917489002841762304,314.74170649693,-0.42319770634,,,4.248,0.0744,22.621,-4.853,0.114,0.085,0.0816,21.954,-4.39,0.04,0.024,0.3361,23.339,-6.592,1.229,0.589,0.4511,2016.0,2016.0,1991.4,1991.6,0.0,0.0,64.79,6917489002841762304,0.35970266245756577,0.9051446972969502
26997,265077139468979712,85.90928828269,55.32875852867,-52.152,0.159,4.2694,0.0204,32.61,-29.02,0.027,0.025,0.2085,31.608,-32.251,0.02,0.015,0.1268,33.771,-30.874,0.617,0.471,0.1052,2016.3,2016.5,1991.3,1991.8,1e-04,-0.0003,12100.0,265077139468979712,0.35918269131906466,3.750217151777396
106607,1786163653004264704,323.87203190883,18.96711161789,8.0,15.4,9.5582,0.0259,16.471,-25.228,0.039,0.038,-0.1699,16.495,-25.365,0.021,0.02,0.4547,15.419,-25.364,0.679,0.632,0.3143,2016.1,2016.4,1991.4,1991.8,0.0,0.0,10.39,1786163653004264704,0.35906394836874356,0.06972279829856154
7450,2453350744712995584,23.99578551959,-15.40011771265,21.065,0.171,5.3393,0.0747,17.05,14.282,0.098,0.06,0.3246,18.329,14.129,0.018,0.013,0.2615,19.492,13.415,0.555,0.402,0.3979,2015.9,2016.3,1991.2,1991.2,-1e-04,0.0,212.9,2453350744712995584,0.35900028094066694,1.1461650813182813
48616,820430567053631616,148.71808252646,44.69338433699,-6.974,0.153,2.9135,0.0215,11.802,-3.996,0.023,0.024,-0.2218,11.905,-3.644,0.032,0.02,-0.1022,9.671,-3.95,0.866,0.539,-0.0405,2016.0,2016.4,1991.4,1991.0,0.0,0.0,145.1,820430567053631616,0.3585878789577205,0.601736687225543
107287,6396512115538159488,325.97222453653,-68.89876164723,3.277,0.396,2.1141,0.0148,28.888,-7.585,0.017,0.022,-0.237,28.294,-5.581,0.05,0.049,-0.228,29.444,-7.146,1.486,1.424,-0.3285,2015.9,2016.2,1991.2,1991.2,0.0,1e-04,1384.0,6396512115538159488,0.35836610311685746,4.679132319441293
146,2334793601345686784,0.45519694057,-25.80002363995,33.424,3.63,7.5672,0.0992,-130.572,-343.252,0.127,0.102,0.0636,-130.939,-343.477,0.039,0.021,0.0376,-130.404,-342.412,1.51,0.67,-0.1981,2015.9,2015.7,1991.2,1991.5,-0.0005,0.0026,11.52,2334793601345686784,0.3583201960208124,0.2685933437325963
102407,1735942325536366848,311.28646617045,6.02448552133,,,2.7725,0.0339,8.871,8.522,0.049,0.04,0.0391,9.108,8.478,0.029,0.021,0.2222,10.265,8.017,0.995,0.647,0.5066,2016.1,2016.2,1991.4,1991.2,0.0,0.0,18.67,1735942325536366848,0.358180296242501,0.41138034508397125
