source_id,ra,dec,l,b,dist_pc,phot_g_mean_mag,M_G,M_Ks,A_0,wise_w3mpro,wise_w4mpro,wise_w3mpro_error,wise_w4mpro_error,resid_optical,resid_optical_nsigma,resid_w3,resid_w4,resid_w3_nsigma,resid_w4_nsigma,w3w4_colour,w3w4_excess,implied_f_optical,allwise_designation,tmass_designation
5312311118480515584,141.33831574561052,-52.896039883691124,274.73754264882416,-1.695934581761886,452.4768831762561,15.922603,7.540097159377368,4.331461937009176,0.14246790826035172,9.599,8.661,0.066,0.408,0.4683815032104137,4.77900149587716,-2.8564336324413055,-0.17504565775335834,-12.666300996576835,-0.1762710386345612,0.9377150641834806,-1.9500620763879541,0.3535917804769074,J092521.18-525345.7,09252122-5253458
2074457246780812288,300.8488012069637,41.47191768534819,77.21000928067264,5.510409899235729,426.45929565625755,17.68531,9.431391523934096,5.703786821212685,0.1554959205163722,10.892,8.942,0.207,,0.4683231555560212,4.778412886616553,-2.5654708097721652,-0.5738376878779974,-11.376082785698564,-0.5778547525722277,1.949689008158968,-0.8542305569242039,0.353557041452193,J200323.70+412819.0,20032371+4128191
3913031698501950336,175.77633151700505,10.308978121590554,255.9369607036053,66.7207178996982,341.16516360301426,15.784586,8.091293123158028,4.719427345098411,0.04016512712144831,11.432,8.106,0.241,,0.46814841949457797,4.776650154849556,-0.7320913864698362,-0.25169957112498587,-3.2463172792511026,-0.2534615562334545,3.3259196697457565,0.5220001046625846,0.35345299593355084,J114306.31+101832.3,11430633+1018325
1917660536404115840,348.05221956366023,38.915009361747295,102.60204762844783,-20.00777496361511,382.88801532898697,16.932365,8.795317307401644,5.310859614750136,0.32080479378153265,11.011,9.06,0.115,0.533,0.4679955883733449,4.77510839941477,-1.8924095788682749,0.07381808308038629,-8.39152328362151,0.07433483550289541,1.9503583904124344,-0.8535611746707374,0.35336197984878703,J231212.49+385453.8,23121245+3854541
6019157006169578112,249.75844295790833,-37.804933060868414,344.6541752517529,5.999098165351767,266.9332123001271,17.087128,9.47679009100497,5.701011426829082,0.719377994024247,11.719,8.602,0.265,,0.4678724654402906,4.773866339226689,-0.7272671216658981,0.09835277872283577,-3.2249250125448583,0.09904128260352014,3.11556124401195,0.3116416789287779,0.35328864667289317,J163902.02-374817.5,16390203-3748176
1913909655565325184,351.5245225773517,37.53943071135785,104.76346621959087,-22.303062117565414,342.8918184099983,16.83922,8.90047079091741,5.3762510220195,0.38445305313300737,11.918,9.095,0.268,,0.4675106347051532,4.7702162024098556,-0.8003182565083868,0.2993794682213302,-3.54885610324052,0.30147522930041964,2.8222310938937323,0.018311528810560418,0.35307308875104715,J232605.89+373222.0,23260589+3732222
5568338894977535360,95.41230037902274,-43.29463764071145,251.1012011427629,-23.368879144125266,439.9201529921123,16.595877,8.336745682399915,5.007584427019652,0.05986258225560303,12.223,9.451,0.254,,0.467428946064663,4.76939213003232,-0.7299623682576115,0.3760166873863433,-3.2368765608682346,0.3786489358274082,2.771880274835489,-0.03203929024768293,0.35302441342113666,J062138.94-431740.4,06213895-4317402
4767119446057376128,89.06063380584754,-56.58141465813033,264.8653087913784,-29.83514551030385,417.2544931430933,16.817936,8.670213762126023,5.254281390330515,0.06604339447710883,12.308,8.773,0.254,,0.467327104198235,4.768364752559804,-0.7319488446156122,-0.35553088443877456,-3.2456852050416036,-0.35801972508789404,3.5348679132110465,0.7309483481278747,0.3529637243778164,J055614.53-563452.9,05561449-5634530
596382739063527808,129.76029150144504,8.32525275399349,217.80764008774787,27.674784936947713,265.5058824444573,15.701302,8.551125554167117,5.16940051691596,0.0427123384658497,11.039,8.227,0.146,,0.4672397357229432,4.767483382191496,-0.9495528432114853,0.14043020196237066,-4.210607937000316,0.14141326253546188,2.811914575323067,0.00799501023989535,0.3529116557011326,J083902.46+081931.1,08390247+0819316
1908313003942496384,339.10913862011427,39.334903046806545,96.3118450864988,-16.45881396619192,470.4469886536407,15.928136,7.4155630725788,3.6630015785532293,0.21504701418447453,9.059,7.155,0.032,0.09,0.4671739675841984,4.766819915323443,-2.893248383990383,-1.9205880506845636,-12.829548872858235,-1.9340328393653063,1.9035699059716302,-0.3629282418539219,0.3528724573352585,J223626.19+392005.6,22362619+3920056
